Generation,DE_Mean,DE_Std,PSO_Mean,PSO_Std,ABC_Mean,ABC_Std,FA_Mean,FA_Std,CS_Mean,CS_Std,TLBO_Mean,TLBO_Std,SA_Mean,SA_Std,HC_Mean,HC_Std
34,5058.768078,2538.366333,44.759375,49.124523,57.665079,62.346880,4470.070490,2623.733464,22232.868500,15348.482508,8.138706,0.327717,163.283069,194.228741,162.972174,147.506117
35,4801.059621,2403.634417,43.345903,49.186766,55.366818,61.117650,4337.583630,2571.271883,21794.241136,15357.471972,8.104859,0.325953,162.284708,193.957951,162.696171,147.515486
36,4536.662749,2017.885552,41.157213,48.143687,53.679083,60.990743,4093.013543,2598.946119,21099.877889,15109.846787,8.074221,0.320754,161.321802,194.419767,155.695278,140.096600
37,4333.188156,1885.456933,40.660444,48.334687,51.371180,59.780598,3717.980020,2421.797772,20598.307779,14887.199904,8.039957,0.316334,160.638556,194.495641,154.216043,138.477297
38,4297.975463,1869.293653,38.850337,47.734318,48.814042,58.044844,3455.005204,2171.343496,19411.522088,14063.447662,8.019037,0.309229,160.015146,194.458239,149.674242,137.165588
39,3990.635515,1881.515992,37.745276,47.043776,46.816443,58.235691,3296.574595,2125.606246,19113.853082,13877.754499,7.999175,0.303861,159.727018,194.589829,147.016404,134.328888
40,3990.622413,1881.525729,36.609643,46.604568,43.476114,57.278669,3129.895837,2066.524544,18648.304704,13732.340737,7.976534,0.311919,159.026850,194.760829,142.272262,128.254959
41,3696.978589,1810.638173,35.197423,46.158542,42.352720,57.236449,2993.966331,2084.763513,17867.546514,13333.712391,7.948993,0.303223,158.741999,194.785278,140.077340,128.246334
42,3446.006095,1837.461658,33.738240,45.750463,39.904373,56.862899,2942.769867,2082.353444,17391.316127,13184.944792,7.924952,0.302127,158.507598,194.846979,139.781782,128.478942
43,3236.106334,1215.069830,32.893213,44.507175,39.317802,56.960835,2819.491699,2008.195448,17010.488956,12895.907028,7.900017,0.302343,157.973824,195.094959,133.899089,125.336594
44,3154.705662,1248.476947,32.094764,43.793661,37.205633,56.587777,2757.228991,1914.782349,16455.465691,12493.887625,7.861847,0.303520,157.410641,195.355608,131.282846,122.751576
45,2802.530714,1123.196098,31.067844,42.879372,35.174878,55.640337,2615.006044,1782.004717,15959.322538,12489.519518,7.834018,0.320024,156.894934,195.549129,127.563013,121.486169
46,2743.051934,1054.979542,29.888949,41.457325,33.906176,55.621656,2555.390327,1790.916537,15219.923877,11959.040162,7.809104,0.320790,156.739266,195.621273,125.418396,118.224257
47,2662.522029,978.007990,28.253325,37.814251,32.654699,55.622837,2291.800433,1656.162750,14527.816831,11642.163934,7.788157,0.328007,156.474383,195.726331,125.408851,118.230135
48,2582.631049,904.168987,26.054823,33.458180,31.194612,55.527777,2186.548461,1571.594320,14263.421226,11493.637869,7.760826,0.327485,156.210904,195.746517,124.565695,118.194718
49,2402.315757,842.790128,23.899516,30.418858,29.721841,55.316848,2121.167491,1568.466128,13628.951302,10758.650599,7.739363,0.336958,155.889013,195.770477,116.151926,96.078718
50,2276.869851,881.044092,23.535417,30.387859,29.240538,55.259330,1949.137151,1433.842137,12405.978246,9721.959988,7.710933,0.353511,155.597584,195.737995,114.109505,92.304210
51,2080.014534,902.244930,22.674253,29.734201,27.347342,55.138963,1912.145302,1452.456932,12047.681151,9444.903868,7.686984,0.356852,155.337201,195.801247,111.531786,88.612709
52,2080.014534,902.244930,22.264876,29.181831,26.730947,55.217698,1821.663723,1400.390010,11660.801822,9182.155541,7.668107,0.358573,155.185177,195.860429,104.033657,80.597449
53,1995.235299,810.890648,21.876604,28.360263,26.021116,55.226191,1666.499731,1360.548419,11428.925400,9113.143673,7.646082,0.360682,155.026992,195.901831,101.158018,76.213549
54,1995.235299,810.890648,21.107852,27.196457,25.374364,55.092264,1664.010695,1360.844161,11033.450944,8700.899389,7.628297,0.364918,154.908511,195.920837,98.262239,77.368228
55,1863.137974,793.707304,20.188291,26.146297,24.762838,54.980160,1564.406116,1252.617110,10662.971549,8542.431163,7.603266,0.370653,154.813979,195.929305,98.262239,77.368228
56,1797.186797,762.092627,19.687641,26.065043,24.128622,54.992738,1470.153524,1234.592113,10191.540917,8244.792704,7.577614,0.383086,154.673974,195.928950,98.262239,77.368228
57,1771.248700,784.785460,19.409361,25.837198,23.762484,54.902160,1422.262838,1237.711501,9901.162823,8089.630963,7.562885,0.381434,154.618962,195.940072,98.262239,77.368228
58,1520.155129,620.973003,19.195231,25.554993,18.615650,33.808761,1398.646616,1197.810145,9637.814197,7993.038935,7.537394,0.384826,154.570394,195.958417,98.245204,77.376753
59,1496.962086,621.768907,18.970351,25.299511,17.432123,31.764668,1376.845127,1205.265471,9319.043917,7718.172784,7.515643,0.394404,154.497095,195.924840,97.938371,77.524572
60,1469.775744,605.237799,18.520242,24.991866,17.012098,31.585424,1272.264252,1124.614859,9006.641474,7507.919434,7.494709,0.401199,154.417804,195.889641,97.938371,77.524572
61,1395.104719,543.544195,18.133734,24.554164,15.454795,28.843185,1221.326486,1073.724872,8616.710197,7088.694469,7.474186,0.398007,154.364568,195.906398,97.938371,77.524572
62,1356.478484,506.303821,17.664681,24.187475,13.606605,23.106188,1209.994977,1063.180080,8314.919676,6853.715532,7.450408,0.399258,154.288920,195.931621,97.938371,77.524572
63,1291.460338,478.087082,17.207033,23.866331,12.986342,21.541588,1186.086891,1056.948070,7982.218284,6771.390650,7.433104,0.397749,154.250473,195.898117,97.098810,78.229912
64,1235.721284,458.625998,16.587935,23.580106,11.588215,19.105259,1151.426354,1050.239351,7758.537151,6622.085549,7.411900,0.397770,154.207078,195.897717,97.006323,78.050226
65,1203.158404,474.997988,15.773667,23.267583,11.370018,18.908290,1147.259452,1049.041246,7498.438104,6502.992437,7.394390,0.403901,154.195419,195.904665,97.006323,78.050226
66,1194.004270,479.696256,15.398420,23.229282,10.914150,18.831970,1124.583099,1060.536745,7038.079702,6106.425704,7.375154,0.412438,154.183301,195.909121,96.983179,78.019352
67,1188.048752,470.190997,15.139236,23.216223,9.856188,15.817967,1098.362126,1068.516560,6902.239055,6105.859492,7.359498,0.412466,154.164139,195.906005,96.983179,78.019352
68,1159.286653,489.906817,15.041724,23.215375,9.432719,15.196887,1075.492098,1055.769118,6677.978036,5967.487542,7.342609,0.410617,154.143059,195.902363,96.983179,78.019352
69,1099.042443,497.268697,14.672685,23.296868,9.152350,14.636266,1045.862004,1019.724594,6540.491079,5911.468723,7.326900,0.409204,154.104580,195.905281,96.983179,78.019352
70,998.653957,433.409638,14.608946,23.240468,8.996064,14.457669,987.932614,981.075669,6320.957813,5728.524998,7.311939,0.417750,154.082235,195.904720,96.983179,78.019352
71,968.606819,413.386436,14.473604,23.245810,8.875919,14.233970,901.153122,769.349070,6112.198314,5548.047052,7.295437,0.423043,154.074698,195.899536,95.759785,78.819098
72,930.641402,385.320150,14.381979,23.210846,8.687434,14.181007,858.483308,720.774550,5916.932518,5429.054880,7.278421,0.428193,154.064576,195.890367,95.027663,78.388457
73,882.482709,351.608098,14.222645,23.140367,8.595527,14.189462,829.045604,719.987404,5770.446443,5386.504563,7.262334,0.426603,154.051824,195.882385,94.650602,78.616870
74,851.418232,345.186942,14.139365,23.099931,8.466825,14.071794,813.447031,709.967449,5500.571450,5086.952639,7.247788,0.435712,154.043205,195.870423,94.641588,78.622964
75,836.194616,347.375620,14.035917,22.897996,8.333384,14.106068,804.722766,710.050748,5348.631799,4950.718021,7.229316,0.439732,154.037601,195.871424,94.641588,78.622964
76,809.801901,344.162922,13.942407,22.698587,8.279206,14.033485,779.725323,687.196652,5244.289228,4859.390071,7.208829,0.444411,154.031430,195.874168,94.641588,78.622964
77,800.410523,330.411559,13.801843,22.465865,8.114597,14.020437,764.643093,693.740115,4960.082847,4601.280413,7.193627,0.443551,154.027194,195.876022,94.641588,78.622964
78,794.404024,334.220361,13.641436,22.141206,7.357120,11.834338,736.391189,667.193844,4721.711070,4418.504405,7.177732,0.447647,154.023900,195.877318,94.120051,78.643346
79,748.863163,317.528431,13.591624,22.103358,7.265794,11.803659,733.931344,667.923488,4353.331485,4083.093853,7.166361,0.448098,154.019667,195.879312,94.120051,78.643346
80,722.854643,319.184913,13.525060,21.979718,7.102554,11.465413,715.679691,665.273483,4169.416734,3927.875287,7.157512,0.452096,154.017026,195.880472,93.535670,78.642763
