Run,DFS,HC,GA,SA,PSO,DE,ABC,CS,FA,TLBO
17,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.810000e+02,7.830000e+02,7.830000e+02
18,7.830000e+02,7.630000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
19,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.810000e+02,7.780000e+02,7.830000e+02,7.830000e+02
20,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
21,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.710000e+02,7.830000e+02,7.830000e+02
22,7.830000e+02,7.630000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
23,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
24,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
25,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
26,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.780000e+02,7.830000e+02,7.830000e+02
27,7.830000e+02,7.530000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.780000e+02,7.830000e+02,7.830000e+02,7.830000e+02
28,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.810000e+02,7.830000e+02,7.830000e+02,7.830000e+02
29,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
30,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.650000e+02,7.830000e+02,7.830000e+02

STATS,DFS,HC,GA,SA,PSO,DE,ABC,CS,FA,TLBO
Mean,7.830000e+02,7.740667e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.825333e+02,7.806333e+02,7.830000e+02,7.830000e+02
Std,0.000000e+00,1.576480e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.309792e+00,4.475737e+00,0.000000e+00,0.000000e+00
Best,7.830000e+02,7.260000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.780000e+02,7.650000e+02,7.830000e+02,7.830000e+02
Worst,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
